IRAN TCI,98
IRAN MOBILE RIGHTEL,9892
IRAN MOBILE IRANCELL,9893
IRAN MOBILE MCI,9891
AFGHANISTAN HERAT,9340
AFGHANISTAN JALALABAD,9360
AFGHANISTAN KABUL,9320
AFGHANISTAN KANDAHAR,9330
AFGHANISTAN MAZAR-E-SHARIF,9350
AFGHANISTAN MOBILE AWCC,9370
AFGHANISTAN MOBILE CDMA,9375
AFGHANISTAN MOBILE ETISALAT,9378
AFGHANISTAN MOBILE MTN,9377
AFGHANISTAN MOBILE ROSHAN,9379
AFGHANISTAN MOBILE WASEL,93750
ALBANIA,355
FRANCE FIXED OLO,331723149
FRANCE FIXED OLO,331723148
FRANCE FIXED OLO,331723147
FRANCE FIXED OLO,331723146
FRANCE FIXED OLO,331723145
FRANCE FIXED OLO,331723144
FRANCE FIXED OLO,331723143
FRANCE FIXED OLO,331723142
FRANCE FIXED OLO,331723140
ALBANIA MOBILE,35538
FRANCE FIXED OLO ZONE 5,33426549
ALBANIA MOBILE AMC,35568
ALBANIA MOBILE EAGLE,35567
ALBANIA MOBILE PLUS,35566
ALBANIA MOBILE VODAFONE,35569
ALBANIA TIRANA,3554
ALBANIA TIRANA,35541
ALBANIA TIRANA,35542
ALBANIA TIRANA,35543
ALBANIA TIRANA,35544
ALBANIA TIRANA,35545
ALBANIA TIRANA,35546
ALGERIA,213
ALGERIA ALGIERS,21320
ALGERIA ALGIERS,21321
ALGERIA ALGIERS,21322
ALGERIA CAT,2131
ALGERIA MOBILE,2136
ALGERIA MOBILE,2139
ALGERIA MOBILE MOBILIS,213659
ALGERIA MOBILE MOBILIS,21366
ALGERIA MOBILE MOBILIS,213670
ALGERIA MOBILE MOBILIS,21369
FRANCE FIXED OLO ZONE 5,33426548
FRANCE FIXED OLO ZONE 5,33426547
FRANCE FIXED OLO ZONE 5,33426546
ALGERIA MOBILE ORASCOM,21377
ALGERIA MOBILE ORASCOM,213780
ALGERIA MOBILE ORASCOM,21379
ALGERIA MOBILE WATANIYA,2135
AMERICAN SAMOA,1684
AMERICAN SAMOA,16840
AMERICAN SAMOA,16841
AMERICAN SAMOA,16843
AMERICAN SAMOA,16844
AMERICAN SAMOA,16845
AMERICAN SAMOA,16846
AMERICAN SAMOA,16847
AMERICAN SAMOA,16848
AMERICAN SAMOA,16849
AMERICAN SAMOA MOBILE,16842
ANDORRA,376
ANDORRA MOBILE,3763
ANDORRA MOBILE,3764
ANDORRA MOBILE,3765
ANDORRA MOBILE,3766
ANGOLA,244
ANGOLA MOBILE,2449
ANGOLA MOBILE,24491
ANGOLA MOBILE,24492
ANGOLA MOBILE,24493
ANGUILLA,1264
FRANCE FIXED OLO ZONE 5,33426544
FRANCE FIXED OLO ZONE 5,33426543
FRANCE FIXED OLO ZONE 5,33426542
FRANCE FIXED OLO ZONE 5,33426541
FRANCE FIXED OLO ZONE 5,33426540
FRANCE FIXED OLO,33172839
FRANCE FIXED OLO,33172838
FRANCE FIXED OLO,33172837
FRANCE FIXED OLO,33172836
FRANCE FIXED OLO,33172834
FRANCE FIXED OLO,33172833
FRANCE FIXED OLO,33172832
FRANCE FIXED OLO,33172831
FRANCE FIXED OLO,33172830
ANTARCTICA,672
ANTARCTICA CASEY,67212
ANTARCTICA SCOTT,6720
ANTIGUA AND BARBUDA,1268
FRANCE FIXED OLO,33172319
ANTIGUA AND BARBUDA MOBILE,126872
FRANCE FIXED OLO,33172318
FRANCE FIXED OLO,33172317
FRANCE FIXED OLO,33172316
FRANCE FIXED OLO,33172315
FRANCE FIXED OLO,33172313
FRANCE FIXED OLO,33172312
FRANCE FIXED OLO,33172311
FRANCE FIXED OLO,33172310
FRANCE FIXED OLO,33172309
FRANCE FIXED OLO,33172308
FRANCE FIXED OLO,33172307
FRANCE FIXED OLO,33172305
FRANCE FIXED OLO,33172304
FRANCE FIXED OLO,33172303
FRANCE FIXED OLO,33172302
FRANCE FIXED OLO,33172301
FRANCE FIXED OLO,33172300
TURKEY SPECIAL SERVICE,9011811
FRANCE FIXED OLO ZONE 7,3358789
ARGENTINA,54
ARGENTINA BUENOS AIRES,5411
ARGENTINA CENTRAL,54230
ARGENTINA CENTRAL,54232
ARGENTINA CENTRAL,54291
ARGENTINA CENTRAL,54299
ARGENTINA CENTRAL,54342
ARGENTINA CENTRAL,54348
ARGENTINA CENTRAL,54353
ARGENTINA CENTRAL,54358
ARGENTINA CENTRAL,54381
ARGENTINA CENTRAL,54387
ARGENTINA CORDOBA,54351
FRANCE FIXED OLO ZONE 7,3358788
FRANCE FIXED OLO ZONE 7,3358787
FRANCE FIXED OLO ZONE 7,3358786
FRANCE FIXED OLO ZONE 7,3358785
FRANCE FIXED OLO ZONE 7,3358784
FRANCE FIXED OLO ZONE 7,3358783
FRANCE FIXED OLO ZONE 7,3358782
FRANCE FIXED OLO ZONE 7,3358781
FRANCE FIXED OLO ZONE 7,3358780
FRANCE FIXED OLO ZONE 7,3358779
FRANCE FIXED OLO ZONE 7,3358778
FRANCE FIXED OLO ZONE 7,3358777
FRANCE FIXED ILIAD,3358776
FRANCE FIXED OLO ZONE 7,3358775
FRANCE FIXED OLO ZONE 7,3358774
FRANCE FIXED ILIAD,3358773
FRANCE FIXED OLO ZONE 7,3358772
FRANCE FIXED ILIAD,3358771
FRANCE FIXED OLO ZONE 7,3358770
FRANCE FIXED OLO ZONE 7,3358769
FRANCE FIXED OLO ZONE 7,3358768
FRANCE FIXED OLO ZONE 7,3358767
FRANCE FIXED OLO ZONE 7,3358766
FRANCE FIXED OLO ZONE 7,3358765
FRANCE FIXED OLO ZONE 7,3358764
FRANCE FIXED OLO ZONE 7,3358763
FRANCE FIXED OLO ZONE 7,3358762
FRANCE FIXED OLO ZONE 7,3358761
FRANCE FIXED OLO ZONE 7,3358760
FRANCE FIXED OLO ZONE 7,3358759
FRANCE FIXED OLO ZONE 7,3358758
FRANCE FIXED OLO ZONE 7,3358757
FRANCE FIXED OLO ZONE 7,3358756
FRANCE FIXED OLO ZONE 7,3358755
FRANCE FIXED OLO ZONE 7,3358754
FRANCE FIXED OLO ZONE 7,3358753
FRANCE FIXED OLO ZONE 7,3358752
FRANCE FIXED OLO ZONE 7,3358751
FRANCE FIXED OLO ZONE 7,3358750
FRANCE FIXED OLO ZONE 7,3358749
FRANCE FIXED OLO ZONE 7,3358748
FRANCE FIXED OLO ZONE 7,3358747
FRANCE FIXED OLO ZONE 7,3358746
FRANCE FIXED OLO ZONE 7,3358745
FRANCE FIXED OLO ZONE 7,3358744
FRANCE FIXED OLO ZONE 7,3358743
FRANCE FIXED OLO ZONE 7,3358742
FRANCE FIXED OLO ZONE 7,3358741
FRANCE FIXED OLO ZONE 7,3358740
FRANCE FIXED OLO ZONE 7,3358739
FRANCE FIXED OLO ZONE 7,3358738
FRANCE FIXED OLO ZONE 7,3358737
FRANCE FIXED OLO ZONE 7,3358736
FRANCE FIXED OLO ZONE 7,3358735
FRANCE FIXED OLO ZONE 7,3358734
FRANCE FIXED OLO ZONE 7,3358733
FRANCE FIXED OLO ZONE 7,3358732
FRANCE FIXED OLO ZONE 7,3358731
FRANCE FIXED OLO ZONE 7,3358730
FRANCE FIXED OLO ZONE 7,3358729
FRANCE FIXED OLO ZONE 7,3358728
FRANCE FIXED OLO ZONE 7,3358727
FRANCE FIXED OLO ZONE 7,3358726
FRANCE FIXED OLO ZONE 7,3358725
FRANCE FIXED OLO ZONE 7,3358724
FRANCE FIXED OLO ZONE 7,3358723
FRANCE FIXED OLO ZONE 7,3358722
FRANCE FIXED OLO ZONE 7,3358721
FRANCE FIXED OLO ZONE 7,3358720
FRANCE FIXED OLO ZONE 7,3358709
ARGENTINA LA PLATA,54221
FRANCE FIXED OLO ZONE 7,3358708
FRANCE FIXED OLO ZONE 7,3358707
FRANCE FIXED OLO ZONE 7,3358706
FRANCE FIXED OLO ZONE 7,3358705
FRANCE FIXED OLO ZONE 7,3358704
FRANCE FIXED OLO ZONE 7,3358703
FRANCE FIXED OLO ZONE 7,3358702
FRANCE FIXED OLO ZONE 7,3358701
FRANCE FIXED ILIAD,3358700
FRANCE FIXED OLO ZONE 7,3358199
FRANCE FIXED OLO ZONE 7,3358198
FRANCE FIXED OLO ZONE 7,3358197
FRANCE FIXED OLO ZONE 7,3358196
FRANCE FIXED OLO ZONE 7,3358195
FRANCE FIXED OLO ZONE 7,3358194
FRANCE FIXED OLO ZONE 7,3358193
FRANCE FIXED OLO ZONE 7,3358192
FRANCE FIXED OLO ZONE 7,3358191
FRANCE FIXED OLO ZONE 7,3358190
FRANCE FIXED OLO ZONE 7,3358189
FRANCE FIXED OLO ZONE 7,3358188
FRANCE FIXED OLO ZONE 7,3358187
FRANCE FIXED OLO ZONE 7,3358186
FRANCE FIXED OLO ZONE 7,3358185
FRANCE FIXED OLO ZONE 7,3358184
FRANCE FIXED OLO ZONE 7,3358183
FRANCE FIXED OLO ZONE 7,3358182
FRANCE FIXED OLO ZONE 7,3358181
FRANCE FIXED OLO ZONE 7,3358180
FRANCE FIXED OLO ZONE 7,3358179
ARGENTINA MAR DEL PLATA,54223
FRANCE FIXED OLO ZONE 7,3358178
FRANCE FIXED OLO ZONE 7,3358177
FRANCE FIXED OLO ZONE 7,3358176
FRANCE FIXED OLO ZONE 7,3358175
FRANCE FIXED OLO ZONE 7,3358174
FRANCE FIXED OLO ZONE 7,3358173
FRANCE FIXED OLO ZONE 7,3358172
FRANCE FIXED OLO ZONE 7,3358171
FRANCE FIXED OLO ZONE 7,3358170
FRANCE FIXED OLO ZONE 7,3358169
FRANCE FIXED OLO ZONE 7,3358168
FRANCE FIXED OLO ZONE 7,3358167
FRANCE FIXED OLO ZONE 7,3358166
FRANCE FIXED OLO ZONE 7,3358165
FRANCE FIXED OLO ZONE 7,3358164
FRANCE FIXED OLO ZONE 7,3358163
FRANCE FIXED OLO ZONE 7,3358162
FRANCE FIXED OLO ZONE 7,3358161
ARGENTINA MENDOZA,54261
FRANCE FIXED OLO ZONE 7,3358160
FRANCE FIXED OLO ZONE 7,3358139
FRANCE FIXED OLO ZONE 7,3358138
FRANCE FIXED OLO ZONE 7,3358137
FRANCE FIXED OLO ZONE 7,3358136
FRANCE FIXED OLO ZONE 7,3358135
FRANCE FIXED OLO ZONE 7,3358134
FRANCE FIXED OLO ZONE 7,3358133
FRANCE FIXED OLO ZONE 7,3358132
FRANCE FIXED OLO ZONE 7,3358131
FRANCE FIXED OLO ZONE 7,3358130
FRANCE FIXED OLO ZONE 7,3358129
ARGENTINA MOBILE,549
ARGENTINA MOBILE BS AS,54911
ARGENTINA ROSARIO,54341
FRANCE FIXED OLO ZONE 7,3358128
FRANCE FIXED OLO ZONE 7,3358127
FRANCE FIXED ILIAD,3358126
FRANCE FIXED OLO ZONE 7,3358125
FRANCE FIXED OLO ZONE 7,3358124
FRANCE FIXED OLO ZONE 7,3358123
FRANCE FIXED OLO ZONE 7,3358122
FRANCE FIXED OLO ZONE 7,3358121
FRANCE FIXED OLO ZONE 7,3358120
FRANCE FIXED OLO ZONE 7,3358119
FRANCE FIXED OLO ZONE 7,3358118
FRANCE FIXED OLO ZONE 7,3358117
FRANCE FIXED OLO ZONE 7,3358116
FRANCE FIXED OLO ZONE 7,3358115
FRANCE FIXED OLO ZONE 7,3358114
FRANCE FIXED ILIAD,3358113
FRANCE FIXED OLO ZONE 7,3358112
FRANCE FIXED OLO ZONE 7,3358111
FRANCE FIXED OLO ZONE 7,3358110
FRANCE FIXED OLO ZONE 7,3358109
FRANCE FIXED OLO ZONE 7,3358108
FRANCE FIXED OLO ZONE 7,3358107
FRANCE FIXED OLO ZONE 7,3358106
FRANCE FIXED OLO ZONE 7,3358105
FRANCE FIXED OLO ZONE 7,3358104
FRANCE FIXED OLO ZONE 7,3358103
FRANCE FIXED OLO ZONE 7,3358102
FRANCE FIXED OLO ZONE 7,3358101
FRANCE FIXED OLO ZONE 7,3358100
FRANCE FIXED OLO ZONE 7,3356799
FRANCE FIXED OLO ZONE 7,3356798
FRANCE FIXED OLO ZONE 7,3356797
FRANCE FIXED OLO ZONE 7,3356796
FRANCE FIXED ILIAD,3356795
FRANCE FIXED ILIAD,3356794
FRANCE FIXED ILIAD,3356793
FRANCE FIXED OLO ZONE 7,3356792
FRANCE FIXED OLO ZONE 7,3356791
FRANCE FIXED OLO ZONE 7,3356790
FRANCE FIXED OLO ZONE 7,3356789
FRANCE FIXED OLO ZONE 7,3356788
FRANCE FIXED OLO ZONE 7,3356787
FRANCE FIXED OLO ZONE 7,3356786
FRANCE FIXED OLO ZONE 7,3356785
FRANCE FIXED OLO ZONE 7,3356784
